0,1,2,3,4,5,6,7,8,9,10
1,C,1.哲学是(),科学的世界观见和方法论,科学性和革命性相统一的世界观,理论化和系统化的世界观,辩证唯物主义和历史唯物主义,,,,
2,B,2.世界观是人门在实践中形成的(),对于自然现象的基本观点,对于整个世界的根本观点,对于人生意义的独特见解,对于社会问题的具体看法,,,,
3,C,3.现代西方哲学的两股主要思潮是(),唯物主义和唯心主义,锌证法和形而上学,人本主义和科学主义,悲观主义和乐观主义,,,,
4,D,"4.认为原子是构成物质世界-切事物的最小单位,是堆切宇宙大厦的""宇宙之砖""。这是-种()",朴素唯物主义的物质观,庸俗唯物主义的物质观,锌证唯物主义的物质观,形而上学唯物主义的物质观,,,,
5,C,5.形而上学唯物主义物质观的错误是(),否认物质的客观性,否认物质的可知性,把自然科学的物质结构理论与哲学的物质范畴相混淆,把可直接感知的实物当作世界的本原,,,,
6,B,6.时间是指物质运动的(),广延性,持续性,绝对性,规律性,,,,
7,D,7.下列各项正确反映物质和运动关系的是(),"运动是内容,物质是其形式","运动是现象,物质是其本质","运动是暂时的,物质是永恒的","运动是物质的固有属性,物质是运动的主体",,,,
8,A,"8.《诗经》上说:""高岸为谷,深谷为陵""。就是说,高的堤岸可以变为深谷,深谷也可以变成丘陵。这是一种()",朴素辩证法观点,客观唯心主义观点,形而上学见点,相对主义观点,,,,
9,A,9.对立统一规律揭示了(),事物发展的动力和源泉,事物发展的状态和形式,事物发展的方向和道路,事物发展的两种趋向,,,,
10,C,"10.在唯物辩证法的科学体系中,否定之否定规律揭示了()",事物发展的动力和源泉,事物发展的状态和形式,事物发展的趋势和道路,事物发展的顺序和形式,,,,
11,D,"11.在实际工作中,要注意掌握分寸,防止""过""或""不及”，这在哲学上属于()",抓事物的主要矛盾,确定事物的质,认识事物的量,把握事物的度,,,,
12,C,"12.下列选项中,属于因果联系的是()",风来雨至,冬去春来,摩擦生热,电闪雷鸟,,,,
13,B,"13.马克思主义哲学批判地吸取的黑格尔哲学的""合理内核”是()",唯物主义思想,锌证法思棋,可知]论思想,决定论思想,,,,
