0,1,2,3,4,5,6
1,D,1.历史观的基本问题是(),是否承认阶级和阶级斗争的问题,经济基础和上层建筑的关系问题,生产力和生产关系的关系问题,社会存在和社会意识的关系问题
2,B,2.划分唯物史观与唯心史观的标准是(),对物质与意识关系的不同回答,对社会存在与社会意识关系的不同回答,对思维和存在关系的不同回答,对教条主义与经验主义关系的不同回答
3,D,"3.理解人类社会发展史的""钥是匙""是()",阶级斗争发展史,生产关系发展史,社会意识发展史,生产劳动发展史
4,A,"4.社会存在属于社会生活的物质方面,是社会实践和物质生活各种条件的总和,它是:()",生产方式、地理环境和人口因素的统一,产力和生产关系的统-,生产方式和社会形态的统-,经济基础和上层建筑的统-
5,A,5.在人类社会发展中己决定作用的因素是(),生产方式,地理环境,社会意识,人口因素
6,B,"6.唯物史见认为,人类的第━个历史活动是()",吃喝穿住,物质生活资料的生产 ,人的自觉意识活动,结成社会关系
7,C,"7.""民生厚而德正”，""仓实则知礼节,衣食足则知荣辱”。古人的话揭示了一个道理()",物质资料的生产包括物质和精神产品的生产,物质资料的生产必然会提高人民的道德水平,物质资料的生产是人类社会存在和发展的基础,社会的生产关系就是社会的道德关系
8,C,"8.社会存在又称社会物质生活条件,下列不属于社会存在的是（)",地理环境,人口因素,科学技术,物质生产方式
9,A,9.自然存在于社会存在区分和统一的基础是(),劳动实践,人口因素,自然地理环境,人的自然属性
10,D,1O.地理环境对社会发展的作用主要通过(),对人的心理素质的影响才能实现,对人的生理结构的影响才能实现,对民族气质的影响才能实现,对生产过程的影响才能实现
11,D,11.地理环境决定论未充分注意到下列哪种情况(),自然因素是人类社会生存和发展的必要条件,自然因素条件可以影响产业布局和老党生产率的高低,自然因素任意决定社会的性质、面貌甚至社会形态的更替,"自然因素的作用要受社会发展状况的制约,特别是受物质资料生产方式的制约"
12,C,12.人口因素在社会发展中的作用是可以),决定社会制度的性质,决定社会制度的更替,制约社会影响的发展,决定社会的贫富强弱
13,A,"13.""许多事情我们可以讲─千 个理由、一万个理由,但老百姓吃不上饭,就没有理由。'民以食为天'""。这段话表明()","人们首先必须吃、喝、住、穿,然后才能从事政治、科学、艺术、宗教等等活动",人的生理需求是历史的基础,人的自然属性决定着人的本质,人的物质欲望是社会发展的根本动力
14,A,"14.社会意识对社会存在的反映,主要是对()",物质资料生产方式的反映,科学文化的反映,统台阶级意志的反映,社会规律的反映
15,B,15.社会发展的决定力量是(),地理环境,生产方式,经济基出,实践活动
16,A,16.社会意识根源于(),社会生活的物质条件,反映社会存在的社会意识,作为社会主体的人民群众的心理,英堆人物成为杰出人物的意愿
17,B,"17.自然科学是一种社会意识的形式,它属于()",没有阶级性的上层建筑,非上层建筑的意识形式,特定经济基础的上层建筑,思想的上层建筑
18,A,"18.恩格斯指出:“在历史上出现的一切社会关系和国家关系,一切宗教制度和法律制度,一切理论观念,只有理解了每━个与之相关的时代的物质生活条件,并从这些物质条件中被引|申出来的时候,才能理解。""这句话表明)",社会存在决定社会意识,社会意识决定社会存在,社会存在是社会意识的载体,社会意识对社会存在具有反作用
19,B,"19.社会存在是指社会的物质生活条件,它有多方面的内容,其中最能集中体现人类社会物质性的是()",地理环境,生产方式,人口因素,社会形态
20,A,"20.随着我国经济社会发展的转型,关注发展质量、增加民生福祉被提到了前所未有的高度在城市形象宣传中,""幸福”、""活力""、""生态""等成了常见的宣传语。这说明()",社会意识反映社会存在,社会意识具有相对独立性,语言的变化决定意识的变化,社会意识对社会存在具有反作用
21,D,"21.下列选项中,全部属于非意识形态的是()",政冶思想、语言学、道德,技术科学、哲学、艺术,法律思想、文学、宗教,自然科学、语言学、形式逻辑
22,C,"22.木兰代父从军,千百年来为人们所颂扬。这一事件突出地说明了()",社会意识与社会存在发展之间具有不平衡性,社会意识落后于社会存在,社会意识在自身的发展中具有历史继承性,社会意识诸形式相互影响、相互制约
23,D,"23.18——19世纪的德国,经济上落后、政治上分裂,但却是思想文化大繁荣的时代,产生了黑格尔的辩证法,继而孕育了马克思主义。这说明)",社会意识的发展具有历史迷承性,社会意识各种形式之间相互作用、相互影响,社会意识对社会存在有巨大的反作用,社会意识同社会存在的发展有时并不完全一致
24,D,"24.“经济上落后的国家在哲学上仍然能够演奏第一提琴""说明)",社会存在决定社会意识,社会意识具有历史继承性,社会意识对社会存在具有反作用,社会意识与社会经济发展水平的不平衡衡性
25,D,"25.大众心理影响经济走势,正确解释这一现象的观点是()",社会意识对社会存在具有决定作用,社会心理可以左右社会发展方向,只有正确的社会意识才能影响社会发展,社会意识反作用于社会存在
26,B,"26.近年来马克思的《资本论》在西方的一些国家销量大增。列宁曾说,马克思的《资本论》的成就之所以此之大,是由于这本书使读者看到整个资本主义社会形态是个活生生的形态,既有""骨骼"",又有""血肉""。人类社会作为一种活的有机体,其""骨骼""系统是指〈)",地理环境、人口因素和生产方式等社会物质生活条件,与一定的生产力相适应的生产关系,建立在一定经济基础之上的政治法律制度及设钜,由政冶法律思想、道德、宗教、哲学等构成的社会意识开形态
27,D,27.社会意识的相对独立性突出表现在),社会文化之间的互补性和互动性,社会意识于社会存在发展的不完全同步性和不平衡性,社会意识各自具有自己的历史迷承性,社会意识对社会存在具有能动的反作用
