0,1,2,3,4,5,6
1,B,"1.""从物到感觉和思想""与""从思想和感觉到物”的对立,属于()",锌证法与形而上学的对立,唯物主义反映论与唯心主义先验论的对立,经验论与唯理论的对立,能动的革命的反映论与消极的被动的反映论的对立
2,D,2.证唯物主义认识论与唯心\主义认识论和形而上学唯物主义认识论的根本区别是(),世界是可以被认识的,认识发展是辩证正的过程,客观事物是认识的对象,社会实践基础上的能动的反映论
3,D,"3.""在我们的视野的范围之外,存在甚至完全是━个悬而未决的问题”这一观点属于()",形而上学的观见点,唯心主义见点,可知]论观点,不可知论的观见点
4,C,4.两条根本对立的认识路线是（),可知论与不可知论的对立,锌证法与形而上学的对立,唯物主义认识论与唯心主义认识论的对立,能动反映论与直观反映论的对立
5,D,"5.恩格斯指出:“社会一旦有技术上的需要,这种需要就会比十听大学更能把科学推向前进。整个流体静力学(托里拆利等)是由于16世纪和17世纪意大利治理山区河流的需要而产生的。”这说明()",实践是认识的目的和归宿,实践是检金认识的唯一标准,听有的科学成果都直接来源于实践的需要,实践是认识发展的动力
6,C,"6.宋代诗人陆游在诗中说:""纸上得来终觉浅,绝此事要躬行。”这是强调()",实践是认识发展的动力,实践是认识的最终目的和归宿,实践是认识的来源,学习获得的间接经验并不重要
7,D,"7.马克思指出:""凡是把理论导向神秘主义的神秘的东西都能在人的实践中以及对这个实践的理解中得到合理的解决。”这说明()",纯粹的理论必然导致神秘必主义,任何理论认识都是人的实践的结果,社会生活实践是产生神秘必主义理论的唯一根源,实践是检金认识真理性的唯一标准
8,A,8.物质生产实践主要处理(),人与自然的关系,人与人的关系,人与社会的关系,人与自身的关系
9,C,"9.马克思指出:""搬运夫和哲学家之间的原始差别要比家犬与猎犬之间的差别小得多,它们之间的呜沟是由分工造成的。""这表明()",人的额聪明才智无先天区别,人的聪明才智的大小主要取决于主观努力的程度,人聪明才智主要源于后天实践,人的聪明才智是由人的社会政治地位决定的
10,B,10.认识的最终目的是(),发现真理,改造世界,创立科学理论,寻找人生意义
11,A,"11.马克思主义认为,从实践的活动机制看,实践是（)",主体与客体通过中介相互作用的过程,道德行为和政冶活动,科学实验,生活、行为、现实、实事等感性活动
12,D,12.实践的主体是(),人,人的意识,社会,具有一定的主体能力、从事社会实践活动的人
13,D,13.实践的客体是（),绝对精神的对象化,客观物质世界,人的意识的创造物,实践活动所指向的对象
14,A,14.实践的中介是（),各种形式的工具、手段及其运用的程序和方法,对一事物存在和发展有联系的各种要素的总和,构成事物一切要素的总和,"受命于主观,见之于客见的活动"
