0,1,2,3,4,5,6
1,C,自由竞争资本主义向垄断资本主义过渡的根源在于(),资本积累的一般规律,资本有机构成不断提高,资本主义的基本矛盾,竞争的结果
2,B,"在资本主义生产发展和生产一规模不断扩大的过程中,生产资料、劳动力和商品的生产日益集中于少数大企业手中,是指()",资本积累,生产集中,资本集中,资本兼并
3,A,"一般说来,在竞争中总是大企业战胜中小企业,使生产和资本进一步集中。在这个过程中,是如何速了生产和资本的集中()",银行信用的发展,企业规模的扩大,国家政策的主导,国际市场的拓展
4,C,"垄断的组织形式多种多样,而且不断发展变化,但是它们的本质都是()",提高剩余价值,增如利润,操纵垄断价格以攫取高额垄断利润,"扩大企业规模,增强竞争力"
5,B,垄断资本的实质在于(),获得垄断地位,获得垄断利润,获得垄断价格,获得垄断统治
6,A,当代国际垄断同盟的主要形式是(),跨国公司和国家垄断资本主义的国际联盟,国际卡特尔,国际托拉斯,国际康采恩
7,C,垄断组织实行垄断价格的根本目的是为了(),扩大市场份额,降低生产成本,获取高额垄断利润,获取平均利润
8,D,私人垄断资本的最高形式是（),产业资本,银行资本,商业资本,金融资本
9,D,金融资本是如何形成的(),工业垄断资本与商业垄断资本的局融合,农业垄断资本与工业垄断资本的局融合,产山业资本与商业资本的融合,工业垄断资本与银行垄断资本的局融合
10,A,"金融寡头是指操纵国民经济命脉,并在实际上控制国家政权的少数垄断资本家或垄断资本家集团。他也们支配了大量的社会财富,控制了整个国家的经济命脉和上层建筑,是垄斯资本主义国家事实上的统冶者。金幂融寡头在经济须域中的统治主要是()","通过""参与制""实现的","通过""董事制""实现的","通过""合作制”实现的","通过""股分制""实现的"
11,B,垄断利润是(),垄断资本家所获得的利润,垄断资本家凭借垄断地位而获得的超过平均利润的高额利润,垄断资本家获得的超额利润,垄断资本家获得的平均利润
12,C,"麦当劳进入中国之后迅速成为快餐业的第一品牌。其总部有专门的采购部门,达成供货协议后,单个供应商就会把原料送到麦当劳自己的一个物流仓库基地,然后再根据门店的订货进行配货,最后在由某物流公司进行送货。其原材料采购时采取()",市场价格,垄断高价,垄断低价,自由价格
13,C,"马克思指出:""某些商品的垄断价格,不过是把其他商品生产者的一部分利润,转移到具有垄断价格的商品上。""这句话说明（)",垄断资本家剥削了中小资本家,垄断资本家获得的利润是中 小资本家创造的,"垄断价格不可能增商品的价值,也并没有否定价值规律",垄断价格是垄断资本家随便制定的
14,C,垄断价格的形成和垄断利润的产生表明(),价值规律不再起作用了,价值规律的作用受到了限制,价值规律的作用形式发生了变化,价值规律的内容发生了变化
15,D,"上世纪下半叶,从第二次世界大战结束后到冷战结束前西方主要发达资本主义国家处于()",自由竞争资本主义阶段,私人垄断资本主义阶段,国际垄断资本主义阶段,国家垄断资本主义阶段
16,C,国家垄断资本主义是(),国家垄断了一切经济活动的资本主义,国家干预全部经济生活的资本主义,国家政权和垄断资本相结合的资本主义,国家进行做观经济管理的资本主义
17,C,"第二次世界大战后,在所有发达资本主义国家,国家垄断资本主义无论在广度上还是深度上都有了更迅速、更普遍的发展,国家干预深入到资本主义的生产、流通、分配和消费的各个环节。尽管国家垄断资本主义有各种不同的形式,其实质都是()",国家攻权取代私人垄断资本主义的一种新型垄断资本主义,"国家运用财政政策、货币政策等经济手段,对社会总供求进行调节",私人垄断资本利用国家机器来为其服务的手段,国家与私人共有、合营企业
18,A,"国家垄断资本主义条件下,政府对经济生活进行干预和凋节的实质是()",维护垄断资产阶级的整体利益和长远利益,维持资本主义经济稳定增长,消除或防止经济危机的爆发,提高资本主义社会的整体福利叼水平
19,B,"垄断资本主义国家的""经济 计划化”()",可从根本上解决资本主义基本矛盾,使生产的无政府状态得到-定的缓解,导致资本主义向社会主义和平过渡,可以消除资本主义经济危机
20,A,"国家垄断资本主义的产生,意味着()",资本主义生产关系内部有了局部的调整和变革,资本主义制度已起了根本性质的变化,资本主义的经济危机将不再存在,资本主义的基本矛盾已不再存在
21,A,"20世纪70年代以来,西方资本主义国家的金融资本急剧膨膨胀,这一方面促进了资本主义的发展,另一方面造成了经济过度虚拟化,致使金鬲融危机频繁发生,西方资本主义金鬲融资本快速发展壮大的重要制度条件是()",金融自由化与金鬲融创新,技术创新与大力发展互联网金融,全面私有化与放松金融监管,去工业化与大力发展现代化服务业
22,C,"金融寡头实现经济上统冶的""参与制”是指金寡头()",直接参与工业企业的生产经营和管理,直接参与银行的经营和管理,通过购买一定数量的股票层层控制许多大企业和大银行的经济统台方式,通过购买听属公司全部股票直接掌握许多大企业和大银行的经济统治方式
23,C,垄断资本主义国家事实上的主宰者是(),银行资本家,工业资本家,金融寡头,商业资本家
24,C,垄断资本在国外设立企业进行生产经营是(),政台上控制输入国,对外经济援助,生产资本输出,借贷资本输出
25,A,垄断资本向世界范围的扩展是通过()形式实现的。,跨国公司,对外直接投资,国国际垄断同盟,国家资本输出
26,C,资本输出的实质是(),发达国家援助发展中国家,垄断资本攫取巨大利益和扩大垄断实力,资本主义向世界范围的扩张,国际资本主义
27,B,各国垄断组织从经济上瓜分世界产生了(),国家垄断资本主义,国际垄断同盟,金融资本和金融寡头,殖民地和宗主国
28,C,垄断资本在国外设立企业进行生产经营是(),政台上控制输入国,对外经济援助,生产资本输出,借贷资本输出
29,A,垄断资本向世界范围的扩展是通过()形式实现的。,跨国公司,对外直接投资,国国际垄断同盟,国家资本输出
30,A,经济全球化的物质基出和根本推动力是(),新科技革命,生产国际化,国际贸易的高度发展,国际金鬲融
31,A,下列选项中不属于当代资本主义生产关系方面新变化的是（),"在生产管理方面,出现了一系列运用电子计算机等新技术的管理手段和工目","在所有制方面,出现了资本社会化,股权分散化趋势,法人所有制崛起","在劳资关系方面,建立了劳资共决,职 工参与管理和持股,终身雇佣等制度","在收入分酉方面,推行社会福利攻策,通过再分配手段缓和社会矛盾"
32,B,法人资本所有制的两种形式是(),国家法人资本所有制和机构法人资本听有制,企山业法人资本所有制和机构法人资本听有制,机构法人资本所有制和个人法人资本听有制,企山业法人资本所有制和私人法人资本听有制
33,D,"随着生产社会化程度的不断提高,资本主义国家内()",拥有所有权的资本家直接经营和管理企业,听有企业的所有权和控制权发生分离,个别企业的所有权和控制权发生分离,大企业内部的所有权和控制权发生分离
34,A,当代资本主义新变化的根本推动力量是(),科学技术革命和生产力的发展,工人阶级争取自身权力斗争的作用,社会主义制度初步显示的优越性,主张改良主义的政党对资本主义制度的改革
35,A,当代资本主义发生的新变化从根本上说是(),人类社会发展一般规律和资本主义经济规律作用的结果,改良主义政党在政治舞台上的景影响日益扩大的结果,科学技术革命和生产力的发展的结果,经济危机产生的结果
36,B,"从历史发展的角度看,资本主义产资料所有制是不断演进和变化的。当今资本主义社会,居主导地位的资本所有制形式是（)",私人资本所有制,法人资本所有制,私人股份资本所有制,垄断资本私人所有制
37,C,"与第二次世界大战前的资本主义相比,当代资本主义在许多方面已经并正在发生着深刻的变化。正确分析斤这些新变化发生的原因,有利于我们科学而全面地认识当代资本主义社会。导致当代资本主义新变化发生的根本推动力量是()",改良主义政党对资本主义制度的改革,工人阶级争取自身权利的斗争,科学技术革命和生产力的发展,社会主义制度的优越性对资本主义的影响
38,C,战后美国经济繁荣的表现有()①投资高涨②政府干预经济③消费旺盛④交通发达,①②,②③,①③,②④
39,A,美国最早开贻政府对经济进行调控的总统是(),罗斯福,杜鲁门,林肯,肯尼迪
40,D,"美国在70年代中期发生了经济危机,这场危机主要表现为()①经济停滞②工人罢工③物价下跌④通货膨胀",①②,②③,②④,①④
41,B,"2008年国际金融危机以来,西方国家在经济、政冶和社会民生等方面出现的各种问题归根结底源于()",虚拟经济与实体经济发展失衡,资本主义的基本矛盾,政府决策失灵,经济全球化
42,D,资本主义的历史地位是(),寄生的资本主义,腐朽的资本主义,永恒的资本主义,过渡的资本主义
43,D,资本主义发展的历史趋势是(),计划经济取代市场经济,市场经济取代计划经济,计划经济取代商品经济,社会主义公有制取代资本主义私有制
44,B,"""资本主义必然灭亡,社会主义必然胜利""的主要依据是()",资本主义政冶经齐发展的不平衡,生产社会化与资本主义私人占有生产资料的矛盾不可调和,个别企业生产的有组织和社会生产的无政府状态之间的矛盾,无产阶级与资产阶级斗争的尖锐化
45,C,"正确认识资本主义的历史过渡性,要()",否定资本主义生产关系的-切改良,对资本主义采取全面肯定的态度,借鉴资本主义社会中反映人类文明进步的改良,借鉴并发展资本主义的经济制度
46,D,46.解决资本主义基本矛盾的惟一途径是(),用垄断代替自由竞争,用国家垄断资本主义代替私人垄断资本主义,用国际垄断代替国家垄断资本主义,用社会主义制度代替资本主义制度
47,A,"47.资本主义向社会主义过渡必然是━个长期的历史过程,其主要依据不包括()",无产阶级与资产阶级斗争的尖锐化,资本主义发展的不平衡衡性决定了过渡的长期性,任何社会形态的存在都有相对稳定性,"当代资本主义的发展,显示出生产关系对生产力容纳的空间"
48,AC,资本主义社会的发展大体可分为两个阶段即(),自由竞争资本主义,资本主义原贻积累阶段,垄断资本主义,国际垄断资本主义
49,ABCD,垄断统治下竞争的特点(),竞争的目的是为了获得高额垄断利润,竞争的手段有政治上的力量,竞争更为敷烈、破坏性更大,竞争的范围除经济领域外还包括政治、军事、文化领域
50,ABCD,垄断与竞争并存的原因是(),垄断不能消除商品经济的竞争基础,科技进步和创新不断敖发新的竞争,中小企业仍然大量存在,垄断组织不能囊括一切商品生产
51,ABD,垄断竞争即垄断时期由垄断本身产生的竞争包括(),垄浙组织内部的竞争,垄浙组织之间的竞争,非垄断企业之间的竞争,垄断组织与非垄断企业之间的竞争
52,ACD,"2012年,美国司法部起诉苹果公司与美国5家出版社非法合谋抬高电子书价格以削弱弓亚马孙公司在电子书市场的地位。2013年纽约州|一家联邦地区法院判定苹果公司违反反垄斯法。为此,苹果公司提出上诉,认为判决背离反垄断法、扼杀创新、影响竞争并对消费者造成伤害。垄迷断虽然是作为自由竞争的对立物而产生的,但垄断没有也不可能消除竞争。垄断与竞争并存的原因()",垄断没有消除产生竞争的经济条件,垄断行为是目前各国反垄断法的规制重点,垄断必须过竞争来维持,垄断组织不能囊括一切商品生产
53,ABC,"马克思认为:""在实际生活中,我们不仅可以找到竞争、垄断和它们的对抗,而且可以找到它们的合题。这个合题不是公式,而是运动。垄断产生着竞争,竞争产生着垄断。“这表明()",垄浙不能消除竞争,垄断是从竞争中形成的,垄断和竞争并存,竞争在垄断产生后日趋灭亡
54,ABC,垄断资本主义的基本经济特征包括(),垄断组织在经济生活中起决定作用,资本输出有了特别重要的意义,在金融资本的基础上形成金鬲融寡头的统治,垄浙使竞争趋于缓和
55,ABCD,"垄断高价和垄断低价并不否定价值规律,因为()",垄断价格的形式只是使价值规舰律改变了表现形式,"从整个社会看,商品的价格总额和价值总额是一致的",垄斯高价是把其他商品生产者的一部分利润转移到垄断高价的商品上,垄断高价和垄断低价不能完全离开商品的价值
56,BCD,垄断资本的实质在于获取垄断利润。垄断利润主要是过垄断组织制定的垄断价值来实现的。垄断价格(),否定了价值规律,其公式是:垄断价格=成本价格+垄断利润,是垄断组织凭借其垄断地位规定的市场价格,包括垄断高价和垄断低价两种形式
57,ABD,垄断价格是(),垄断资本家取得垄断利润的主要手段,垄断资本家凭借垄断地位规定的商品价格,成本价格+垄断利润,成本价格+平均利润+垄断利润
58,ABCD,"垄断资本所获得的高额利润,归根到底来自无产阶级和其他劳动人民所创造的剩余价值,具体来说,垄断利润的来源包括（)",强对国内无产阶级和其他 劳动人民的剥削,过空制市场占有非垄断企业的利润,加强对其他国家劳动人民的剥削和掠夺,过资本主义国家政权进行有利于垄断资本的再分配
