0,1,2,3,4,5,6
1,D,1.决定社会经济制度变更的经济规律是(),价值规律,剩余价值规律,基本经济规律,生产关系一定要适合生产力发展规律
4,A,2.马克思主义政治经济学的研究对象是(),社会生产关系,社会生产力,社会生产方式,社会经济和政冶制度
7,B,3.商品是(),劳动产品,用来进行交换的劳动产品,满足生产者自己需要的劳动产品,具有使用价值的劳动产品
10,C,4.生产力构成中最主要的因素是(),生产工具,劳动对象,劳动者,劳动资料
13,D,"5.某资本家工厂共有资本400万元,其中一次生产耗费不变资本100万元,购买劳动力部分为100万元,生产出商品价值300万元。该资本家的剩余价值率是()",300%,200%,l50%,l00%
16,D,6.生产商品的劳动二重性是指(),个别劳动和社会劳动,脑力劳动和体力劳动,简单劳动和复杂劳动,具体劳动和抽象劳动
19,D,7.商品的价值量是由(),商品的交效用决定的,商品的供求关系决定的,生产商品的个别劳动时间决定的,生产商品的社会必要劳动时间决定的
22,D,8.单位商品价值量与生产它的劳动生产率的关系是(),"劳动生产率提高时,单位商品的价值量不变","劳动生产率提高时,单位商品的价值量增加","劳动生产率降低时,单位商品的价值量不变","劳动生产率降低时,单位商品的价值量增加"
25,C,"9.“看不见的手""是指()",行政手段,计划机制,市场机制,计划与市场的结合
28,B,10.货币具有价值尺度职能是因为货币本身),具有使用价值,"是商品,具使用价值和价值",是金银眼,能够分成若干等份
31,D,"11.在生产过程中,劳动力所创造的新价值是()",商品价值,劳动力自身价值,剩余价值,劳动力价值和剩余价值之和
34,B,12.货币具有价值尺度职能是因为货币本身),具有使用价值,"是商品,具有价值",是金银眼,能够分成若干等份
37,C,13.资本主义企业生产出来的机器设备是该厂的(),固定资本,流动资本,商品资本,货币资本
41,D,"14.在资本主义条件下,部门内部的竞争结果形成()",商品的生产价格,商品的个别价值,商品的垄断价格,商品的社会价值
45,C,15.剩利余价值的源泉是(),简单劳动,复杂劳动,剩余劳动,必要劳动
48,C,16.产业资本循环顺序采取的三种职能形式是(),生产资本、商品资本、货币资本,商品资本、货币资本、生产资本,货币资本、生产资本、商品资本,生产资本、货币资本、商品资本
52,A,17.影响资本周转速度的标志是(),周转时间,周转次数,流通时间,生产时间
55,C,18.资本周转速度与(),"周转时间成正比,与周转次数成反比","周转时间成反比,与周转次数成反比","周转时间成反比,与周转次数成正比","周转时间成正比,与周转次数成正比"
58,C,"19.马克思在《资本论》中指出""在一权是财富的积累,同时在另一极,即在把自己的产品作为资本来生产的阶级方面是贫困、劳动折磨、受双役、无知、粗野和道德堕落的积累。”这句话揭示了资本积累的一般规律是()",资本有机构成的提高导致了资本主义社会相对过乘剩人口的形成,"随着资本积累的增长,资本有机构成表现出不断斯提高的趋势",资产阶级财富的积累与工人阶级贫困的积累内在地、本质地、必然地联系在一起,"资本积累和资本有机构成提高的过程,就是""机器排斥工人”的过程"
62,A,20.提高劳动强度而生产的剩余价值属于(),绝对剩余价值,相对剩余价值,超额剩余价值,超额利润
