0,1,2,3,4,5,6
1,C,1.马克思主义理论从狭义上说是(),无产阶级争取自身解放和整个人类解放的学说体系,关于无产阶级斗争的性质、目的和解放条件的学说,马克思和恩格斯创立的基本理论、基本观点和基本方法构成的科学体系,关于资本主义转化为社会主义以及社会主义和共产主义发展的普遍规律的学说
2,A,2.马克思主义理论从广义上说是(),"不仅指马克思恩格斯创立的基本理论、基本观点和学说的体系,也包括继承者对它的发展",无产阶级争取自身解放和整个人类解放的学说体系,关于无产阶级斗争的性质、目的和解放条件的学说,马克思和恩格斯创立的基本理论、基本观点和基本方法构成的科学体系
3,B,3.马克思主义哲学最基本的原则是(),逻辑和历史的统-,理论和实践的统-,分析和宗合的统一,主体和客体的统-
4,A,"4.人类进入21世纪,英国广播公司()在全球范围内进行""千年 思想家”网评,名列榜首的是（)",马克思,爱因圻坦,达尔文,牛顿
5,B,"5.在19世纪三大工人运动中,集中反映工人政治要求的是()",法国里昂工人起义,英国宪章运动,芝力口哥工人起义,德国西里西亚方织工人起义
6,C,6.马克思主义产生的经济根源是(),工业革命,资本主义经济危机,资本主义社会生产力和生产关系的矛盾运动,阶级斗争
7,B,7.马克思主义产生的阶级基础和实践基础(),资本主义的录剥削和压迫,无产阶级作为一支独立的政治力量登上了历史舞台,工人罢工和起义,"工人运动得到了""衣民的合唱”"
8,B,"8.提出价值规律是""一只看不见的手”是()",马克思,亚当·斯密,大卫·李嘉图,威廉·配第
9,C,9.马克思恩格斯进━步发展和完善了英国古典经济学理论是（),锌证法,历史观见,劳动价值论,剩余价值论
10,A,10.马克思把黑格尔的锌证法称为(),合理内核,基本内核,精遣,核心
11,B,"11.被马克思恩格斯称为""有史以来最伟大的讽刺家”的是（)",费尔巴哈,傅立叶,欧文,圣西门
12,D,12.在第一次世界大战中成为东西方矛盾焦点和帝国主义政 治体系最薄弱环节的国家是(),德国,奥地利,中国,俄国
13,A,"13.""哲学把无产阶级当作自己的物质武器,同样,无产阶级把哲学当作自己的精神武器”，这个论断的含义是()",马克思主义是无产阶级的世界观和方法论,哲学的存在方式是物质,无产阶级的存在方式是精神,无产阶级掌握哲学就由自为阶级转变为自在阶级
14,A,14.马克思主义生命力的根源在于(),以实践为基础的科学性与革命性的统一,与时俱进,科学性与阶级性的统-,科学性
15,C,15.无产阶级的科学世界观见和方法论是(),锌证唯物主义,历史唯物主义,辩证唯物主义和历史唯物主义,唯物主义
16,A,16.马克思主义理论最根本的本质属性是(),科学性,革命性,实践性,与时俱进
17,D,17.马克思主义最重要的理论品质是(),吐故纳新,科学严谨,博大精深,与时俱进
18,A,18.马克思主义最崇高的社会理想(),实现共产主义,消灭阶级、消灭国家,实现个人的绝对自由,实现人权
19,C,19.学习马克思主义基本原理的根本方法(),认真学习马克思主义的著作,—切从实际出发,理论联系实际,实事求是
